小分类,题目,答案
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato è un segnale d'obbligo,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato è un segnale di prescrizione,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato è preavviso dell'obbligo di svoltare a sinistra,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato precede un incrocio in cui non è consentito proseguire diritto o girare a destra,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato preannuncia l'obbligo di svoltare a sinistra al prossimo incrocio,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato precede un incrocio ove è obbligatorio svoltare a sinistra,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato è un segnale di preavviso di direzione obbligatoria,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato preannuncia l'unica direzione consentita,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato può essere integrato con pannello che indica la distanza dal punto in cui vige l'obbligo,V
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato preannuncia un senso unico,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato è un segnale di indicazione,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato indica che è obbligatorio passare a sinistra dell'ostacolo,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato è posto all'inizio di una strada in pendenza,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato indica l'obbligo di cambiare corsia,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato presegnala una curva pericolosa a sinistra,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato indica che non è consentito svoltare a sinistra al prossimo incrocio,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato obbliga ad andare diritto o a svoltare a sinistra,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato preannuncia di andare diritto ma non di svoltare a destra,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato presegnala il senso unico di circolazione nella svolta a sinistra,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato è un segnale di divieto,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato preannuncia una corsia di accelerazione,F
preavviso direzione obbligatoria a sinistra,Il segnale raffigurato preannuncia una direzione consigliata,F
direzione obbligatoria dritto,Il segnale raffigurato indica l'obbligo di proseguire diritto,V
direzione obbligatoria dritto,Il segnale raffigurato non consente la svolta a sinistra,V
direzione obbligatoria dritto,"Il segnale raffigurato, posto prima di un incrocio, obbliga a proseguire diritto",V
direzione obbligatoria dritto,"Il segnale raffigurato, in corrispondenza di un incrocio, non consente la svolta a destra o a sinistra",V
direzione obbligatoria dritto,Il segnale raffigurato indica l'unica direzione consentita,V
direzione obbligatoria dritto,Il segnale raffigurato è un segnale di prescrizione,V
direzione obbligatoria dritto,Il segnale raffigurato è un segnale di direzione obbligatoria,V
direzione obbligatoria dritto,Il segnale raffigurato è un segnale di obbligo,V
direzione obbligatoria dritto,Il segnale raffigurato non consente la svolta a destra,V
direzione obbligatoria dritto,Il segnale raffigurato consente di svoltare a destra o a sinistra,F
direzione obbligatoria dritto,Il segnale raffigurato consente di svoltare all'incrocio,F
direzione obbligatoria dritto,Il segnale raffigurato indica l'inizio del senso unico di circolazione,F
direzione obbligatoria dritto,Il segnale raffigurato indica la fine del doppio senso di circolazione,F
direzione obbligatoria dritto,Il segnale raffigurato impone la marcia in unica fila,F
direzione obbligatoria dritto,Il segnale raffigurato è un segnale di indicazione,F
direzione obbligatoria dritto,Il segnale raffigurato è un segnale di divieto,F
direzione obbligatoria dritto,Il segnale raffigurato è un segnale di corsia,F
direzione obbligatoria dritto,Il segnale raffigurato preannuncia una direzione consigliata,F
direzione obbligatoria dritto,Il segnale raffigurato obbliga a svoltare a destra o a sinistra,F
direzione obbligatoria dritto,Il segnale raffigurato esclude la possibilità che provengano veicoli di fronte,F
direzione obbligatoria dritto,Il segnale raffigurato indica un senso unico frontale,F
direzione obbligatoria sinistra,Il segnale raffigurato indica l'obbligo di svoltare a sinistra,V
direzione obbligatoria sinistra,Il segnale raffigurato non consente di svoltare a destra,V
direzione obbligatoria sinistra,"Il segnale raffigurato, posto prima di un incrocio, obbliga a svoltare a sinistra",V
direzione obbligatoria sinistra,"Il segnale raffigurato, in corrispondenza di un incrocio, non consente di proseguire diritto",V
direzione obbligatoria sinistra,Il segnale raffigurato indica l'unica direzione consentita,V
direzione obbligatoria sinistra,Il segnale raffigurato è un segnale di prescrizione,V
direzione obbligatoria sinistra,Il segnale raffigurato è un segnale di direzione obbligatoria,V
direzione obbligatoria sinistra,Il segnale raffigurato è un segnale di obbligo,V
direzione obbligatoria sinistra,Il segnale raffigurato indica che si può svoltare soltanto a sinistra,V
direzione obbligatoria sinistra,Il segnale raffigurato indica che non è consentito proseguire diritto,V
direzione obbligatoria sinistra,Il segnale raffigurato consente di andare diritto all'incrocio,F
direzione obbligatoria sinistra,Il segnale raffigurato consente di svoltare a destra all'incrocio,F
direzione obbligatoria sinistra,Il segnale raffigurato indica l'inizio del senso unico di circolazione dopo una svolta a sinistra,F
direzione obbligatoria sinistra,Il segnale raffigurato indica la fine del doppio senso di circolazione dopo una svolta a destra,F
direzione obbligatoria sinistra,Il segnale raffigurato indica che è obbligatorio passare a sinistra di un ostacolo posto sulla carreggiata,F
direzione obbligatoria sinistra,Il segnale raffigurato è un segnale di indicazione,F
direzione obbligatoria sinistra,Il segnale raffigurato è un segnale di divieto,F
direzione obbligatoria sinistra,Il segnale raffigurato indica che la strada che si incrocia è a senso unico verso sinistra,F
direzione obbligatoria sinistra,Il segnale raffigurato indica un senso unico parallelo,F
direzione obbligatoria sinistra,Il segnale raffigurato indica il divieto di svoltare a sinistra,F
direzione obbligatoria sinistra,Il segnale raffigurato indica che ci si può fermare sulla sinistra della strada,F
direzione obbligatoria sinistra,Il segnale raffigurato indica l'obbligo di proseguire diritto,F
direzione obbligatoria sinistra,Il segnale raffigurato significa che bisogna aggirare l'ostacolo a sinistra,F
direzione obbligatoria sinistra,Il segnale raffigurato significa preavviso di curva a sinistra,F
direzione obbligatoria destra,Il segnale raffigurato indica l'obbligo di svoltare a destra,V
direzione obbligatoria destra,Il segnale raffigurato non consente di svoltare a sinistra,V
direzione obbligatoria destra,"Il segnale raffigurato, in corrispondenza di un incrocio, obbliga a svoltare a destra",V
direzione obbligatoria destra,"Il segnale raffigurato, posto prima di un incrocio, non consente di proseguire diritto",V
direzione obbligatoria destra,Il segnale raffigurato è un segnale di prescrizione,V
direzione obbligatoria destra,Il segnale raffigurato è un segnale di obbligo,V
direzione obbligatoria destra,Il segnale raffigurato è un segnale di direzione obbligatoria,V
direzione obbligatoria destra,Il segnale raffigurato indica l'unica direzione consentita,V
direzione obbligatoria destra,Il segnale raffigurato indica direzione obbligatoria a destra,V
direzione obbligatoria destra,Il segnale raffigurato indica che si può svoltare soltanto a destra,V
direzione obbligatoria destra,Il segnale raffigurato indica che non è consentito proseguire diritto,V
direzione obbligatoria destra,Il segnale raffigurato indica che si deve svoltare a destra,V
direzione obbligatoria destra,Il segnale raffigurato indica che è pericoloso svoltare a destra,F
direzione obbligatoria destra,Il segnale raffigurato prescrive di proseguire diritto,F
direzione obbligatoria destra,Il segnale raffigurato indica l'inizio del senso unico di circolazione nella svolta a destra,F
direzione obbligatoria destra,Il segnale raffigurato indica la fine del doppio senso di circolazione nella svolta a sinistra,F
direzione obbligatoria destra,Il segnale raffigurato è un segnale di indicazione,F
direzione obbligatoria destra,Il segnale raffigurato è un segnale di divieto,F
direzione obbligatoria destra,Il segnale raffigurato indica che la strada che si incrocia è a senso unico verso destra,F
direzione obbligatoria destra,Il segnale raffigurato indica un senso unico parallelo,F
direzione obbligatoria destra,Il segnale raffigurato indica il divieto di svoltare a destra,F
direzione obbligatoria destra,Il segnale raffigurato indica un'area di parcheggio a destra,F
direzione obbligatoria destra,Il segnale raffigurato indica l'obbligo di proseguire diritto,F
direzione obbligatoria destra,Il segnale raffigurato indica di passare a destra dell'ostacolo,F
direzione obbligatoria destra,Il segnale raffigurato indica preavviso di curva a destra,F
preavviso direzione obbligatoria a destra,Il segnale raffigurato è un preavviso di obbligo di svoltare a destra,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato preannuncia che non è consentito proseguire diritto o svoltare a sinistra,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato precede un incrocio con obbligo di svoltare a destra,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato preannuncia un incrocio ove non è consentito proseguire diritto,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato preannuncia che non è consentito girare a sinistra,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato è un segnale di prescrizione,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato preannuncia l'unica direzione consentita,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato è un segnale d'obbligo,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato può essere integrato con un pannello che indica la distanza dal punto in cui vige l'obbligo,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato precede il segnale di DIREZIONE OBBLIGATORIA A DESTRA,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato preannuncia che non è consentito proseguire diritto,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato preannuncia che non è consentito svoltare a sinistra,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato è posto prima di un incrocio,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato è un segnale di obbligo,V
preavviso direzione obbligatoria a destra,Il segnale raffigurato indica che non è consentito svoltare a destra al prossimo incrocio,F
preavviso direzione obbligatoria a destra,Il segnale raffigurato obbliga ad andare diritto o svoltare a destra,F
preavviso direzione obbligatoria a destra,Il segnale raffigurato prescrive l'obbligo di passare a destra di un ostacolo,F
preavviso direzione obbligatoria a destra,Il segnale raffigurato indica una curva pericolosa a destra,F
preavviso direzione obbligatoria a destra,Il segnale raffigurato presegnala una confluenza a destra,F
preavviso direzione obbligatoria a destra,Il segnale raffigurato obbliga gli autocarri ed i veicoli lenti ad incolonnarsi sulla corsia di destra,F
preavviso direzione obbligatoria a destra,Il segnale raffigurato è un segnale di divieto,F
